gene	locus_tag	start	end	strand	product
caiC	b0037	36270	37824	-1	carnitine--CoA ligase
caiB	b0038	37897	39115	-1	gamma-butyrobetainyl-CoA:carnitine CoA transferase
caiA	b0039	39243	40386	-1	crotonobetainyl-CoA reductase
caiT	b0040	40416	41931	-1	L-carnitine:gamma-butyrobetaine antiporter
fixA	b0041	42402	43173	1	putative electron transfer flavoprotein FixA
fixB	b0042	43187	44129	1	putative electron transfer flavoprotein FixB
fixC	b0043	44179	45466	1	putative oxidoreductase FixC
fixX	b0044	45462	45750	1	putative ferredoxin FixX
yaaU	b0045	45806	47138	1	putative transporter YaaU
kefF	b0046	47245	47776	1	regulator of KefC-mediated potassium transport and quinone oxidoreductase
kefC	b0047	47768	49631	1	K(+) : H(+) antiporter KefC
folA	b0048	49822	50302	1	dihydrofolate reductase
apaH	b0049	50379	51222	-1	diadenosine tetraphosphatase
apaG	b0050	51228	51606	-1	DUF525 domain-containing protein ApaG
rsmA	b0051	51608	52430	-1	16S rRNA (A(1518)/A(1519))-N(6)-dimethyltransferase
pdxA	b0052	52426	53416	-1	4-hydroxythreonine-4-phosphate dehydrogenase
surA	b0053	53415	54702	-1	chaperone SurA
lptD	b0054	54754	57109	-1	lipopolysaccharide assembly protein LptD
djlA	b0055	57363	58179	1	co-chaperone protein DjlA
yabP	b0056	58473	59124	1	putative uncharacterized protein YabP
yabQ	b0057	59120	59279	1	protein YabQ
rluA	b0058	59686	60346	-1	23S rRNA pseudouridine(746) and tRNA pseudouridine(32) synthase
rapA	b0059	60357	63264	-1	RNA polymerase-binding ATPase and RNAP recycling factor
polB	b0060	63428	65780	-1	DNA polymerase II
araD	b0061	65854	66550	-1	L-ribulose-5-phosphate 4-epimerase AraD
araA	b0062	66834	68337	-1	L-arabinose isomerase
araB	b0063	68347	70048	-1	ribulokinase
araC	b0064	70386	71265	1	DNA-binding transcriptional dual regulator AraC
yabI	b0065	71350	72115	1	DedA family protein YabI
thiQ	b0066	72228	72927	-1	thiamine ABC transporter ATP binding subunit
thiP	b0067	72910	74521	-1	thiamine ABC transporter membrane subunit
thiB	b0068	74496	75480	-1	thiamine ABC transporter periplasmic binding protein
sgrR	b0069	75643	77299	-1	DNA-binding transcriptional dual regulator SgrR
sgrT	b4662	77387	77519	1	PtsG glucose transporter inhibitor
setA	b0070	77620	78799	1	sugar exporter SetA
leuD	b0071	78847	79453	-1	3-isopropylmalate dehydratase subunit LeuD
leuC	b0072	79463	80864	-1	3-isopropylmalate dehydratase subunit LeuC
leuB	b0073	80866	81958	-1	3-isopropylmalate dehydrogenase
leuA	b0074	81957	83529	-1	2-isopropylmalate synthase
leuL	b0075	83621	83708	-1	leu operon leader peptide
leuO	b0076	84367	85312	1	DNA-binding transcriptional dual regulator LeuO
yabR	b4726	85466	85511	-1	protein YabR
ilvI	b0077	85629	87354	1	acetolactate synthase/acetohydroxybutanoate synthase, catalytic subunit
ilvH	b0078	87356	87848	1	acetolactate synthase/acetohydroxybutanoate synthase, regulatory subunit
cra	b0080	88027	89032	1	DNA-binding transcriptional regulator Cra
mraZ	b0081	89633	90092	1	DNA-binding transcriptional repressor MraZ
rsmH	b0082	90093	91035	1	16S rRNA m(4)C1402 methyltransferase
ftsL	b0083	91031	91397	1	cell division protein FtsL
ftsI	b0084	91412	93179	1	peptidoglycan DD-transpeptidase FtsI
murE	b0085	93165	94653	1	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2, 6-diaminopimelate ligase
murF	b0086	94649	96008	1	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D- alanine ligase
mraY	b0087	96001	97084	1	phospho-N-acetylmuramoyl-pentapeptide- transferase
murD	b0088	97086	98403	1	UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase
ftsW	b0089	98402	99647	1	peptidoglycan glycosyltransferase FtsW
murG	b0090	99643	100711	1	N-acetylglucosaminyl transferase
murC	b0091	100764	102240	1	UDP-N-acetylmuramate--L-alanine ligase
ddlB	b0092	102232	103153	1	D-alanine--D-alanine ligase B
ftsQ	b0093	103154	103985	1	cell division protein FtsQ
ftsA	b0094	103981	105244	1	cell division protein FtsA
ftsZ	b0095	105304	106456	1	cell division protein FtsZ
lpxC	b0096	106556	107474	1	UDP-3-O-acyl-N-acetylglucosamine deacetylase
secM	b0097	107704	108217	1	SecA translation regulator
secA	b0098	108278	110984	1	protein translocation ATPase
mutT	b0099	111043	111433	1	8-oxo-dGTP diphosphatase
yacG	b0101	111648	111846	-1	DNA gyrase inhibitor YacG
zapD	b0102	111855	112599	-1	cell division factor ZapD
coaE	b0103	112598	113219	-1	dephospho-CoA kinase
yacM	b4727	113243	113288	1	protein YacM
guaC	b0104	113443	114487	1	GMP reductase
hofC	b0106	114521	115724	-1	inner membrane protein HofC
hofB	b0107	115713	117099	-1	T2SSE family protein
ppdD	b0108	117108	117549	-1	prepilin-type N-terminal cleavage/methylation domain-containing protein PpdD
nadC	b0109	117751	118645	-1	quinolinate phosphoribosyltransferase (decarboxylating)
ampD	b0110	118732	119284	1	1,6-anhydro-N-acetylmuramoyl-L-alanine amidase
ampE	b0111	119280	120135	1	protein AmpE
aroP	b0112	120177	121551	-1	aromatic amino acid:H(+) symporter AroP
pdhR	b0113	122091	122856	1	DNA-binding transcriptional dual regulator PdhR
aceE	b0114	123016	125680	1	pyruvate dehydrogenase E1 component
aceF	b0115	125694	127587	1	pyruvate dehydrogenase E2 subunit
lpd	b0116	127911	129336	1	lipoamide dehydrogenase
yacH	b0117	129406	131260	-1	DUF3300 domain-containing protein YacH
acnB	b0118	131614	134212	1	AcnB
yacL	b0119	134387	134750	1	PF06062 family protein YacL
speD	b0120	134787	135582	-1	S-adenosylmethionine decarboxylase proenzyme
speE	b0121	135597	136464	-1	spermidine synthase
yacC	b0122	136569	136917	-1	putative lipoprotein YacC
cueO	b0123	137082	138633	1	multicopper oxidase CueO
gcd	b0124	138834	141225	-1	quinoprotein glucose dehydrogenase
hpt	b0125	141430	141967	1	hypoxanthine phosphoribosyltransferase
can	b0126	142007	142670	-1	carbonic anhydrase 2
yadG	b0127	142778	143705	1	putative ABC transporter ATP-binding protein YadG
yadH	b0128	143701	144472	1	putative ABC transporter membrane subunit YadH
yadI	b0129	144576	145017	1	putative PTS enzyme IIA component YadI
yadE	b0130	145080	146310	1	putative polysaccharide deacetylase lipoprotein YadE
panD	b0131	146313	146694	-1	aspartate 1-decarboxylase proenzyme
rpnC	b0132	146967	147870	1	recombination-promoting nuclease RpnC
panC	b0133	147943	148795	-1	pantothenate synthetase
panB	b0134	148806	149601	-1	3-methyl-2-oxobutanoate hydroxymethyltransferase
yadC	b0135	149714	150953	-1	fimbrial tip-adhesin YadC
yadK	b0136	151002	151599	-1	putative fimbrial protein YadK
yadL	b0137	151625	152231	-1	putative fimbrial protein YadL
yadM	b0138	152242	152812	-1	putative fimbrial protein YadM
htrE	b0139	152828	155426	-1	putative fimbrial usher protein HtrE
yadV	b0140	155460	156201	-1	putative fimbrial chaperone YadV
yadN	b0141	156298	156883	-1	putative fimbrial protein YadN
folK	b0142	157252	157732	-1	2-amino-4-hydroxy-6- hydroxymethyldihydropteridine diphosphokinase
pcnB	b0143	157728	159126	-1	poly(A) polymerase I
gluQ	b0144	159185	160112	-1	glutamyl-Q tRNA(Asp) synthetase
dksA	b0145	160148	160604	-1	RNA polymerase-binding transcription factor DksA
sfsA	b0146	160781	161486	-1	sugar fermentation stimulation protein A
thpR	b0147	161500	162031	-1	RNA 2',3'-cyclic phosphodiesterase
hrpB	b0148	162104	164534	1	RNA-dependent NTPase HrpB
mrcB	b0149	164729	167264	1	peptidoglycan glycosyltransferase/peptidoglycan DD-transpeptidase MrcB
mrcB	b0149	164864	167264	1	PBP-1Bgamma
fhuA	b0150	167483	169727	1	ferrichrome outer membrane transporter/phage receptor
fhuC	b0151	169777	170575	1	Fe(3(+)) hydroxamate ABC transporter ATP binding subunit
fhuD	b0152	170574	171465	1	Fe(3(+)) hydroxamate ABC transporter periplasmic binding protein
fhuB	b0153	171461	173444	1	Fe(3(+)) hydroxamate ABC transporter membrane subunit
hemL	b0154	173601	174882	-1	glutamate-1-semialdehyde 2,1-aminomutase
yadX	b4765	175047	175095	1	protein YadX
clcA	b0155	175106	176528	1	chloride:H(+) antiporter ClcA
yadW	b4728	176551	176617	1	protein YadW
erpA	b0156	176609	176954	1	iron-sulfur cluster insertion protein ErpA
yadS	b0157	177000	177624	-1	PF03458 family protein YadS
btuF	b0158	177661	178462	-1	vitamin B12 ABC transporter periplasmic binding protein
mtn	b0159	178454	179153	-1	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase
dgt	b0160	179236	180754	1	dGTP triphosphohydrolase
degP	b0161	180883	182308	1	periplasmic serine endoprotease DegP
cdaR	b0162	182462	183620	1	DNA-binding transcriptional activator CdaR
yaeH	b0163	183708	184095	-1	DUF3461 domain-containing protein YaeH
yaeI	b0164	184256	185069	-1	phosphodiesterase YaeI
dapD	b0166	185122	185947	-1	tetrahydrodipicolinate succinylase
glnD	b0167	185977	188650	-1	protein-PII uridylyltransferase/uridylyl-removing enzyme
map	b0168	188711	189506	-1	methionine aminopeptidase
rpsB	b0169	189873	190599	1	30S ribosomal subunit protein S2
tsf	b0170	190856	191708	1	protein chain elongation factor EF-Ts
pyrH	b0171	191854	192580	1	UMP kinase
frr	b0172	192871	193429	1	ribosome-recycling factor
dxr	b0173	193520	194717	1	1-deoxy-D-xylulose 5-phosphate reductoisomerase
ispU	b0174	194902	195664	1	ditrans,polycis-undecaprenyl-diphosphate synthase [(2E,6E)-farnesyl-diphosphate specific]
cdsA	b0175	195676	196534	1	CDP-diglyceride synthetase
rseP	b0176	196545	197898	1	intramembrane zinc metalloprotease RseP
bamA	b0177	197927	200360	1	outer membrane protein assembly factor BamA
skp	b0178	200481	200967	1	periplasmic chaperone Skp
lpxD	b0179	200970	201996	1	UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase
fabZ	b0180	202100	202556	1	3-hydroxy-acyl-[acyl-carrier-protein] dehydratase
lpxA	b0181	202559	203348	1	acyl-[acyl-carrier-protein]--UDP-N- acetylglucosamine O-acyltransferase
lpxB	b0182	203347	204496	1	lipid A disaccharide synthase
rnhB	b0183	204492	205089	1	RNase HII
dnaE	b0184	205125	208608	1	DNA polymerase III subunit alpha
accA	b0185	208620	209580	1	acetyl-CoA carboxyltransferase subunit alpha
ldcC	b0186	209678	211820	1	lysine decarboxylase 2
yaeR	b0187	211876	212266	1	VOC domain-containing protein YaeR
tilS	b0188	212330	213629	1	tRNA(Ile)-lysidine synthetase
rof	b0189	213677	213932	-1	modulator of Rho-dependent transcription termination
yaeP	b4406	213924	214125	-1	PF06786 family protein YaeP
yaeQ	b0190	214290	214836	1	uncharacterized protein YaeQ
arfB	b0191	214832	215255	1	peptidyl-tRNA hydrolase, ribosome rescue factor
nlpE	b0192	215268	215979	1	sensor lipoprotein NlpE
yaeF	b0193	216178	217003	-1	peptidase C92 family protein YaeF
proS	b0194	217056	218775	-1	proline--tRNA ligase
trmO	b0195	218886	219594	-1	tRNA m(6)t(6)A37 methyltransferase
rcsF	b0196	219590	219995	-1	sensor lipoprotein RcsF
metQ	b0197	220112	220928	-1	L-methionine/D-methionine ABC transporter membrane anchored binding protein
metI	b0198	220967	221621	-1	L-methionine/D-methionine ABC transporter membrane subunit
metN	b0199	221613	222645	-1	L-methionine/D-methionine ABC transporter ATP binding subunit
gmhB	b0200	222832	223408	1	D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase
dkgB	b0207	229166	229970	1	methylglyoxal reductase DkgB
yafC	b0208	229966	230881	-1	DNA-binding transcriptional regulator YafC
yafD	b0209	231121	231922	1	endonuclease/exonuclease/phosphatase domain-containing protein YafD
yafE	b0210	231925	232549	1	putative S-adenosylmethionine-dependent methyltransferase
mltD	b0211	232596	233955	-1	membrane-bound lytic murein transglycosylase D
gloB	b0212	234026	234782	-1	hydroxyacylglutathione hydrolase GloB
ykfO	b4815	234287	234320	1	protein YkfO
yafS	b0213	234815	235538	1	putative S-adenosyl-L-methionine-dependent methyltransferase
rnhA	b0214	235534	236002	-1	ribonuclease HI
dnaQ	b0215	236066	236798	1	DNA polymerase III subunit epsilon
yafT	b0217	237334	238120	1	lipoprotein YafT
ykfM	b4586	238256	238736	-1	uncharacterized protein YkfM
yafV	b0219	239418	240189	-1	2-oxoglutaramate amidase
ivy	b0220	240342	240816	1	periplasmic chaperone, inhibitor of vertebrate C-type lysozyme
fadE	b0221	240858	243303	-1	acyl-CoA dehydrogenase
gmhA	b0222	243542	244121	1	D-sedoheptulose 7-phosphate isomerase
yafJ	b0223	244326	245094	1	putative glutamine amidotransferase YafJ
dpaA	b0224	245064	245805	-1	peptidoglycan meso-diaminopimelic acid protein amidase A
yafQ	b0225	245960	246239	-1	ribosome-dependent mRNA interferase toxin YafQ
dinJ	b0226	246241	246502	-1	antitoxin/DNA-binding transcriptional repressor DinJ
yafL	b0227	246711	247461	1	NlpC/P60 family protein YafL
rayT	b0228	247636	248134	1	REP-associated tyrosine transposase
dinB	b0231	250897	251953	1	DNA polymerase IV
yafN	b0232	252004	252298	1	antitoxin YafN
yafO	b0233	252300	252699	1	ribosome-dependent mRNA interferase toxin YafO
yafP	b0234	252708	253161	1	putative N-acetyltransferase YafP
pepD	b0237	254258	255716	-1	peptidase D
gpt	b0238	255976	256435	1	xanthine-guanine phsophoribosyltransferase
frsA	b0239	256526	257771	1	fermentation-respiration switch protein
crl	b0240	257828	259006	1	RNA polymerase holoenzyme assembly factor Crl
insB9	b4710	257922	258426	-1	IS1 transposase B
insA9	b4709	258344	258620	-1	IS1 repressor TnpA
phoE	b0241	259044	260100	-1	outer membrane porin PhoE
proB	b0242	260387	261491	1	glutamate 5-kinase
proA	b0243	261502	262756	1	glutamate-5-semialdehyde dehydrogenase
ykfI	b0245	263327	263669	-1	toxin of the YkfI-YafW toxin-antitoxin system
yafW	b0246	263689	264007	-1	antitoxin of the YkfI-YafW toxin-antitoxin pair
ykfH	b4504	264025	264247	-1	DUF987 domain-containing protein YkfH
ykfG	b0247	264255	264732	-1	RadC-like JAB domain-containing protein YkfG
yafX	b0248	264747	265206	-1	protein YafX
ykfF	b0249	265303	265543	-1	protein YkfF
ykfB	b0250	265619	266087	-1	protein YkfB
yafY	b0251	266109	266553	-1	inner membrane lipoprotein YafY
yafZ	b0252	267183	268005	-1	DUF932 domain-containing protein YafZ
ykfA	b0253	268096	268960	-1	putative GTP-binding protein YkfA
perR	b0254	269288	270182	-1	putative transcriptional regulator PerR
insN	b4587	270277	272190	1	CP4-6 prophage; IS911A regulator fragment
insI1	b0256	270602	271754	1	IS30 transposase
ykfC	b0258	272846	273992	1	PF00078 domain-containing protein YkfC
insH1	b0259	274100	275081	-1	IS5 transposase and trans-activator
mmuP	b0260	275324	276728	1	S-methyl-L-methionine transporter
mmuM	b0261	276714	277647	1	homocysteine S-methyltransferase
afuC	b0262	277755	278802	-1	ABC transporter ATP-binding protein AfuC
insB2	b0264	279177	279681	-1	IS1 protein InsB
insA2	b0265	279599	279875	-1	IS1 protein InsA
yagB	b0266	280384	280735	-1	orphan antitoxin YagB
yagA	b0267	280828	281983	-1	integrase core domain-containing protein YagA
yagE	b0268	282277	283186	1	2-dehydro-3-deoxygluconate aldolase
yagF	b0269	283200	285168	1	D-xylonate dehydratase
yagG	b0270	285394	286777	1	putative D-xylonate transporter YagG
yagH	b0271	286788	288399	1	putative xylosidase/arabinosidase
xynR	b0272	288403	289162	-1	DNA-binding transcriptional repressor XynR
argF	b0273	289300	290305	-1	ornithine carbamoyltransferase ArgF
argL	b4766	290274	290370	-1	putative translational regulatory protein ArgL
ykgS	b4688	290509	290638	1	protein YkgS
insB3	b0274	290648	291152	-1	IS1 protein InsB
insA3	b0275	291070	291346	-1	IS1 protein InsA
yagJ	b0276	291499	292231	1	protein YagJ
yagK	b0277	292321	292948	-1	uncharacterized protein YagK
yagL	b0278	293219	293918	-1	resolvase-like catalytic domain-containing protein YagL
yagM	b0279	293944	294799	-1	protein YagM
ykgV	b4729	294917	295142	-1	protein YkgV
yagN	b0280	295138	295579	-1	protein YagN
intF	b0281	295695	297096	-1	putative phage integrase
yagP	b0282	297380	297791	-1	putative LysR family substrate binding domain-containing protein YagP
paoD	b0283	297769	298726	-1	molybdenum cofactor insertion chaperone PaoD
paoC	b0284	298735	300934	-1	aldehyde dehydrogenase, molybdenum cofactor-binding subunit
paoB	b0285	300930	301887	-1	aldehyde dehydrogenase, FAD-binding Fe-S subunit
paoA	b0286	301883	302573	-1	aldehyde dehydrogenase, Fe-S subunit
yagU	b0287	302990	303605	1	DUF1440 domain-containing inner membrane protein YagU
ykgJ	b0288	303852	304182	-1	putative metal-chelating domain-containing protein YkgJ
ecpE	b0289	304494	305205	-1	putative fimbrial chaperone EcpE
ecpD	b0290	305173	306817	-1	fimbrial adhesin EcpD
ecpC	b0291	306806	309332	-1	putative fimbrial usher protein EcpC
ecpB	b0292	309357	310026	-1	putative fimbrial chaperone EcpB
ecpA	b0293	310083	310671	-1	common pilus major subunit
matA	b0294	310745	311336	-1	DNA-binding transcriptional dual regulator MatA
ykgL	b0295	312111	312339	1	uncharacterized protein YkgL
ykgO	b4506	312373	312514	-1	50S ribosomal subunit protein L36B
ykgM	b0296	312513	312777	-1	50S ribosomal subunit protein L31B
ykgR	b4671	313140	313242	-1	putative membrane protein YkgR
insE1	b0298	315290	315590	1	IS3 element protein InsE
insF1	b0299	315586	316453	1	IS3 element protein InsF
rclC	b0301	317725	318319	-1	DUF417 domain-containing inner membrane protein RclC
rclB	b0303	318330	318567	-1	hypochlorite stress response protein RclB
rclA	b0304	318675	320001	-1	cupric reductase RclA
rclR	b0305	320226	321081	1	DNA-binding transcriptional activator RclR
ykgE	b0306	321607	322327	1	putative lactate utilization oxidoreductase YkgE
ykgF	b0307	322337	323765	1	putative amino acid dehydrogenase with NAD(P)-binding domain and ferridoxin-like domain
ykgG	b0308	323757	324453	1	DUF162 domain-containing lactate utilization protein YkgG
ykgH	b0310	324695	325364	-1	uncharacterized protein YkgH
betA	b0311	325576	327247	-1	choline dehydrogenase
betB	b0312	327260	328733	-1	betaine aldehyde dehydrogenase
betI	b0313	328746	329334	-1	DNA-binding transcriptional repressor BetI
betT	b0314	329462	331496	1	choline:H(+) symporter
yahV	b4730	331801	331876	1	protein YahV
pdeL	b0315	332370	333459	1	DNA-binding transcriptional regulator/c-di-GMP phosphodiesterase PdeL
yahB	b0316	333500	334433	-1	putative LysR-type DNA-binding transcriptional regulator YahB
yahC	b0317	334524	335022	-1	uncharacterized protein YahC
yahD	b0318	335279	335885	1	ankyrin repeat-containing protein YahD
yahE	b0319	335924	336788	1	DUF2877 domain-containing protein YahE
yahF	b0320	336777	338325	1	putative acyl-CoA synthetase YahF
yahG	b0321	338324	339743	1	DUF1116 domain-containing protein YahG
yahH	b0322	339768	340089	1	putative uncharacterized protein YahH
yahI	b0323	340164	341115	1	carbamate kinase-like protein YahI
yahJ	b0324	341124	342507	1	amidohydrolase family protein YahJ
yahK	b0325	342883	343933	1	aldehyde reductase, NADPH-dependent
yahL	b0326	344175	344991	1	uncharacterized protein YahL
xtpA	b4845	345251	345434	1	putative transcriptional regulator XtpA
yahM	b0327	345403	345649	1	uncharacterized protein YahM
yahN	b0328	345665	346337	-1	putative amino acid exporter YahN
yahO	b0329	346483	346759	1	DUF1471 domain-containing protein YahO
prpR	b0330	346856	348443	-1	DNA-binding transcriptional dual regulator PrpR
prpB	b0331	348681	349572	1	2-methylisocitrate lyase
prpC	b0333	350011	351181	1	2-methylcitrate synthase
prpD	b0334	351214	352666	1	2-methylcitrate dehydratase
prpE	b0335	352705	354592	1	propionyl-CoA synthetase
codB	b0336	354921	356181	1	cytosine transporter
codA	b0337	356170	357454	1	cytosine/isoguanine deaminase
cynR	b0338	357790	358690	-1	DNA-binding transcriptional dual regulator CynR
cynT	b0339	358798	359458	1	carbonic anhydrase 1
cynS	b0340	359488	359959	1	cyanase
cynX	b0341	359991	361146	1	cyanate transporter
lacA	b0342	361248	361860	-1	galactoside O-acetyltransferase
lacY	b0343	361925	363179	-1	lactose permease
lacZ	b0344	363230	366305	-1	beta-galactosidase
lacI	b0345	366427	367510	-1	DNA-binding transcriptional repressor LacI
mhpR	b0346	367586	368420	-1	DNA-binding transcriptional activator MhpR
mhpA	b0347	368610	370275	1	3-(3-hydroxyphenyl)propanoate hydroxylase
mhpB	b0348	370276	371221	1	3-carboxyethylcatechol 2,3-dioxygenase
mhpC	b0349	371238	372105	1	2-hydroxy-6-ketonona-2,4-dienedioate hydrolase
mhpD	b0350	372114	372924	1	2-hydroxypentadienoate hydratase
mhpF	b0351	372920	373871	1	acetaldehyde dehydrogenase (acetylating) MhpF
mhpE	b0352	373867	374881	1	4-hydroxy-2-oxovalerate aldolase
mhpT	b0353	375458	376670	1	3-hydroxyphenylpropionate/3- hydroxycinnamate:H(+) symporter
yaiL	b0354	376771	377311	1	DUF2058 domain-containing protein YaiL
frmB	b0355	377534	378368	-1	S-formylglutathione hydrolase FrmB
frmA	b0356	378461	379571	-1	S-(hydroxymethyl)glutathione dehydrogenase
frmR	b0357	379605	379881	-1	DNA-binding transcriptional repressor FrmR
yaiO	b0358	380068	380842	-1	outer membrane protein YaiO
yaiX	b4579	380843	382872	-1	putative acyltransferase, N-terminal fragment
insC1	b0360	381350	381716	1	IS2 element protein InsA
insD1	b0361	381673	382579	1	IS2 element protein
yaiP	b0363	382738	383935	-1	putative glucosyltransferase
ykiC	b4731	383959	384079	1	protein YkiC
yaiS	b0364	384058	384616	-1	putative deacetylase YaiS
tauA	b0365	385231	386194	1	taurine ABC transporter periplasmic binding protein
tauB	b0366	386206	386974	1	taurine ABC transporter ATP binding subunit
tauC	b0367	386970	387798	1	taurine ABC transporter membrane subunit
tauD	b0368	387794	388646	1	taurine dioxygenase
hemB	b0369	388752	389727	-1	porphobilinogen synthase
yaiT	b4580	390250	394418	1	putative autotransporter YaiT
ytiB	b4767	391591	391648	-1	protein YtiB
insF2	b0372	391738	392605	-1	IS3 element protein InsF
insE2	b0373	392601	392901	-1	IS3 element protein InsE
iprA	b0375	394505	395129	1	putative DNA-binding transcriptional regulator IprA
ampH	b0376	395129	396287	-1	peptidoglycan DD-carboxypeptidase/peptidoglycan DD-endopeptidase
sbmA	b0377	396638	397859	1	peptide antibiotic/peptide nucleic acid transporter
yaiW	b0378	397871	398966	1	surface-exposed outer membrane lipoprotein
yaiY	b0379	399024	399333	-1	DUF2755 domain-containing inner membrane protein YaiY
yaiZ	b0380	399592	399805	1	DUF2754 domain-containing protein YaiZ
ddlA	b0381	399828	400923	-1	D-alanine--D-alanine ligase A
iraP	b0382	401385	401646	1	anti-adaptor protein IraP
phoA	b0383	401746	403162	1	alkaline phosphatase
psiF	b0384	403280	403601	1	phosphate starvation-inducible protein PsiF
dgcC	b0385	403702	404818	1	diguanylate cyclase DgcC
proC	b0386	404834	405644	-1	pyrroline-5-carboxylate reductase
yaiI	b0387	405763	406222	1	DUF188 domain-containing protein YaiI
aroL	b0388	406404	406929	1	shikimate kinase 2
yaiA	b0389	406978	407170	1	protein YaiA
aroM	b0390	407427	408105	1	protein AroM
ppnP	b0391	408176	408461	1	nucleoside phosphorylase PpnP
ykiD	b4732	408946	409030	1	protein YkiD
rdgC	b0393	409107	410019	-1	nucleoid-associated protein RdgC
mak	b0394	410143	411052	1	fructokinase
araJ	b0396	411296	412481	-1	putative transport protein AraJ
sbcC	b0397	412606	415753	-1	ATP-dependent structure-specific DNA nuclease - SbcC subunit
sbcD	b0398	415749	416952	-1	ATP-dependent structure-specific DNA nuclease - SbcD subunit
phoB	b0399	417141	417831	1	DNA-binding transcriptional dual regulator PhoB
phoR	b0400	417888	419184	1	sensor histidine kinase PhoR
brnQ	b0401	419590	420910	1	branched chain amino acid transporter BrnQ
proY	b0402	420985	422359	1	putative transporter ProY
malZ	b0403	422517	424332	1	maltodextrin glucosidase
acpH	b0404	424336	424918	-1	acyl carrier protein phosphodiesterase
queA	b0405	425010	426081	1	tRNA preQ1(34) S-adenosylmethionine ribosyltransferase-isomerase
tgt	b0406	426136	427264	1	tRNA-guanine transglycosylase
yajC	b0407	427286	427619	1	Sec translocon accessory complex subunit YajC
secD	b0408	427646	429494	1	Sec translocon accessory complex subunit SecD
secF	b0409	429504	430476	1	Sec translocon accessory complex subunit SecF
yajD	b0410	430604	430952	1	HNH nuclease family protein YajD
tsx	b0411	431128	432013	-1	nucleoside-specific channel-forming protein Tsx
yajI	b0412	432311	432851	-1	putative lipoprotein YajI
nrdR	b0413	433001	433451	1	NrdR transcriptional repressor
ribD	b0414	433454	434558	1	fused diaminohydroxyphosphoribosylaminopyrimidine deaminase/5-amino-6-(5-phosphoribosylamino)uracil reductase
ribE	b0415	434646	435117	1	6,7-dimethyl-8-ribityllumazine synthase
nusB	b0416	435136	435556	1	transcription antitermination protein NusB
thiL	b0417	435633	436611	1	thiamine monophosphate kinase
pgpA	b0418	436588	437107	1	phosphatidylglycerophosphatase A
yajO	b0419	437160	438135	-1	1-deoxyxylulose-5-phosphate synthase YajO
dxs	b0420	438314	440177	-1	1-deoxy-D-xylulose-5-phosphate synthase
ispA	b0421	440201	441101	-1	geranyl diphosphate/farnesyl diphosphate synthase
xseB	b0422	441100	441343	-1	exodeoxyribonuclease VII subunit XseB
